"meta_id","post_id","meta_key","meta_value"
"846","1449","_wpb_shortcodes_custom_css",".vc_custom_1488866291307{margin-top: -50px !important;}.vc_custom_1488866495878{padding-top: 40px !important;}.vc_custom_1489573939549{margin-top: 55px !important;background-image: url(https://www.vistaneotech.com/wp-content/uploads/2017/03/img1-1920x1080.jpg?id=1927) !important;background-position: center;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1488952411521{padding-top: 60px !important;padding-bottom: 70px !important;background-color: #f2f4f4 !important;}.vc_custom_1488952381187{padding-top: 60px !important;padding-bottom: 100px !important;}.vc_custom_1488952177079{padding-top: 60px !important;padding-bottom: 80px !important;background-color: #f2f4f4 !important;}.vc_custom_1489573877178{padding-top: 100px !important;padding-right: 10% !important;padding-bottom: 60px !important;padding-left: 10% !important;background-color: rgba(8,52,155,0.9) !important;*background-color: rgb(8,52,155) !important;}.vc_custom_1489573883847{padding-top: 100px !important;padding-right: 10% !important;padding-bottom: 60px !important;padding-left: 10% !important;background-color: rgba(1,209,147,0.9) !important;*background-color: rgb(1,209,147) !important;}.vc_custom_1488872842804{margin-bottom: 0px !important;}.vc_custom_1488872863872{margin-bottom: 0px !important;}.vc_custom_1488879953547{margin-bottom: 0px !important;}.vc_custom_1488883321298{margin-bottom: 0px !important;}.vc_custom_1488883387158{margin-bottom: 50px !important;}.vc_custom_1487969118463{margin-bottom: 0px !important;}"
"847","1449","_celebrate_page_header_bg_image_id","1368"
"848","1449","_celebrate_page_header_bg_image_style","repeat"
"849","1449","_celebrate_page_header_bg_image","https://celebrate.tanshcreative.com/wp-content/uploads-demo/scene.jpg"
"850","1449","_celebrate_page_header_bg_image_overlay","0.3"
"1275","2365","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1276","2365","_wpb_shortcodes_custom_css",".vc_custom_1490940809499{padding-top: 230px !important;padding-bottom: 60px !important;background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/img-bg2-1920x600.jpg?id=671) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1490941017225{padding-top: 50px !important;padding-bottom: 50px !important;}.vc_custom_1490942429845{margin-bottom: 5px !important;}.vc_custom_1490902744559{padding-top: 10px !important;}"
"1277","2365","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1278","2365","_wp_page_template","template-no-page-header.php"
"1279","2365","slide_template","default"
"1280","2365","_wpb_vc_js_status","true"
"1281","2365","_celebrate_page_header_bg_image_id","0"
"1282","2365","_celebrate_page_header_bg_image_style","repeat"
"1283","2365","_celebrate_page_tagline","Frequently Asked Questions"
"1284","2365","_wpb_shortcodes_custom_css",".vc_custom_1490940809499{padding-top: 230px !important;padding-bottom: 60px !important;background-image: url(https://celebrate.tanshcreative.com/wp-content/uploads-demo/img-bg2-1920x600.jpg?id=671) !important;background-position: center !important;background-repeat: no-repeat !important;background-size: cover !important;}.vc_custom_1490941017225{padding-top: 50px !important;padding-bottom: 50px !important;}.vc_custom_1490942429845{margin-bottom: 5px !important;}.vc_custom_1490902744559{padding-top: 10px !important;}"
"1695","167","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1696","167","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1698","167","slide_template","default"
"1700","167","_celebrate_client_info","Direct-selling-software-Chandigarh"
"1701","167","_celebrate_rating_count","rating_five"
"1702","175","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1703","175","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1704","175","slide_template","default"
"1705","175","_celebrate_testimonial_tagline","Supremephysio.com"
"1706","175","_celebrate_client_info","Delhi"
"1707","175","_celebrate_rating_count","rating_four"
"1709","183","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1710","183","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1712","183","slide_template","default"
"1713","183","_celebrate_testimonial_tagline","avos.in"
"1714","183","_celebrate_client_info","Delhi"
"1715","183","_celebrate_rating_count","rating_five"
"1763","839","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1764","839","_vc_post_settings","a:1:{s:10:""vc_grid_id"";a:0:{}}"
"1765","839","_thumbnail_id","3761"
"1766","839","slide_template","default"
"1767","839","_wpb_vc_js_status","true"
"1768","839","_celebrate_member_job","Director"
"1769","839","_celebrate_member_info_add","<ul class=""tc-list-contact""> <li><li><i class=""icon-phone-handset tc-left-icon""></i>Phone: + 1 234 - 567 - 8903</li> <i class=""icon-twitter tc-left-icon""></i>Tweet: <a href=""#"">@tweethandle</a></li></ul>"
"1770","839","_celebrate_member_flickr","#"
"1771","839","_celebrate_member_github","#"
"1788","2466","_wp_attached_file","revslider/master/master-slidebg-img1.jpg"
"1789","2466","_wp_attachment_metadata","a:6:{s:5:""width"";i:1920;s:6:""height"";i:900;s:4:""file"";s:40:""revslider/master/master-slidebg-img1.jpg"";s:5:""sizes"";a:10:{s:21:""woocommerce_thumbnail"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-300x300.jpg"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-100x100.jpg"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:18:""woocommerce_single"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-600x281.jpg"";s:5:""width"";i:600;s:6:""height"";i:281;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:9:""thumbnail"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-150x150.jpg"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:6:""medium"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-300x141.jpg"";s:5:""width"";i:300;s:6:""height"";i:141;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:12:""medium_large"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-768x360.jpg"";s:5:""width"";i:768;s:6:""height"";i:360;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:5:""large"";a:5:{s:4:""file"";s:32:""master-slidebg-img1-1024x480.jpg"";s:5:""width"";i:1024;s:6:""height"";i:480;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:14:""shop_thumbnail"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-100x100.jpg"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:12:""shop_catalog"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-300x300.jpg"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}s:11:""shop_single"";a:5:{s:4:""file"";s:31:""master-slidebg-img1-600x281.jpg"";s:5:""width"";i:600;s:6:""height"";i:281;s:9:""mime-type"";s:10:""image/jpeg"";s:8:""filesize"";i:0;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}s:8:""filesize"";i:41951;}"
"1796","2470","_wp_attached_file","revslider/app-presentation/master-slidebg-img2.jpg"
