"object_id","term_taxonomy_id","term_order"
"5430","71","0"
"5430","73","0"
"5430","75","0"
"5430","76","0"
"5430","79","0"
"5430","95","0"
"5435","1","0"
"5435","60","0"
"5435","66","0"
"5435","67","0"
"5435","68","0"
"5435","69","0"
"5435","70","0"
"5435","71","0"
"5435","72","0"
"5435","73","0"
"5435","75","0"
"5435","76","0"
"5435","79","0"
"5435","95","0"
"5441","1","0"
"5441","60","0"
"5441","66","0"
"5441","67","0"
"5441","68","0"
"5441","69","0"
"5441","70","0"
"5441","71","0"
"5441","72","0"
"5441","73","0"
"5441","75","0"
"5441","79","0"
"5441","95","0"
"5450","1","0"
"5450","60","0"
"5450","66","0"
"5450","67","0"
"5450","68","0"
"5450","69","0"
"5450","70","0"
"5450","71","0"
"5450","72","0"
"5450","73","0"
"5450","75","0"
"5450","76","0"
"5450","79","0"
"5450","95","0"
"5463","1","0"
"5463","67","0"
"5463","68","0"
"5463","69","0"
"5463","70","0"
"5463","71","0"
"5463","72","0"
"5463","73","0"
"5463","75","0"
"5463","76","0"
"5463","79","0"
"5478","1","0"
"5478","67","0"
"5478","69","0"
"5478","70","0"
"5478","71","0"
"5478","72","0"
"5478","73","0"
"5478","75","0"
"5478","76","0"
"5478","79","0"
"5634","1","0"
"5634","60","0"
"5634","66","0"
"5634","67","0"
"5634","68","0"
"5634","70","0"
"5634","71","0"
"5634","72","0"
"5634","73","0"
"5634","75","0"
"5634","76","0"
"5634","79","0"
"5646","1","0"
"5646","60","0"
"5646","66","0"
"5646","67","0"
"5646","68","0"
"5646","69","0"
"5646","70","0"
"5646","71","0"
"5646","72","0"
"5646","73","0"
"5646","75","0"
"5646","76","0"
"5646","79","0"
"5658","1","0"
"5658","60","0"
"5658","66","0"
"5658","67","0"
"5658","68","0"
"5658","70","0"
"5658","71","0"
"5658","72","0"
"5658","73","0"
"5658","75","0"
"5658","95","0"
"5667","1","0"
"5667","60","0"
"5667","66","0"
"5667","68","0"
"5667","69","0"
"5667","70","0"
"5667","71","0"
"5667","73","0"
"5667","75","0"
"5667","76","0"
"5667","79","0"
"5667","95","0"
"5680","1","0"
"5680","60","0"
"5680","66","0"
"5680","67","0"
"5680","68","0"
"5680","69","0"
"5680","70","0"
"5680","71","0"
"5680","72","0"
"5680","73","0"
"5680","75","0"
"5680","79","0"
"5680","95","0"
"5684","1","0"
"5684","60","0"
"5684","66","0"
"5684","67","0"
"5684","68","0"
"5684","69","0"
"5684","70","0"
"5684","71","0"
"5684","72","0"
"5684","73","0"
"5684","75","0"
"5684","76","0"
"5684","95","0"
"5693","1","0"
"5693","60","0"
"5693","66","0"
"5693","67","0"
"5693","69","0"
"5693","70","0"
"5693","71","0"
"5693","72","0"
"5693","73","0"
"5693","75","0"
"5693","76","0"
"5693","95","0"
"5693","96","0"
"5701","1","0"
"5701","60","0"
"5701","66","0"
"5701","67","0"
"5701","68","0"
"5701","69","0"
"5701","70","0"
"5701","71","0"
"5701","72","0"
"5701","73","0"
"5701","75","0"
"5701","76","0"
"5701","95","0"
"5725","1","0"
"5725","60","0"
"5725","66","0"
"5725","67","0"
"5725","68","0"
"5725","70","0"
"5725","71","0"
"5725","72","0"
"5725","73","0"
"5725","75","0"
"5725","76","0"
"5725","79","0"
"5725","95","0"
"5740","1","0"
"5740","60","0"
"5740","66","0"
"5740","68","0"
"5740","69","0"
"5740","70","0"
"5740","72","0"
"5740","73","0"
"5740","79","0"
"5740","95","0"
"5740","97","0"
"5747","1","0"
"5747","60","0"
"5747","66","0"
"5747","67","0"
"5747","68","0"
"5747","69","0"
"5747","70","0"
"5747","71","0"
"5747","72","0"
"5747","73","0"
"5747","75","0"
"5747","76","0"
